sku,name,shortDescription,longDescription,tags,categories,attributes,attributeValues,filters,ragularPrice,quantity,manageStock,shippingWeight,thumbnails,image,status,stockStatus
SKU1,Tulle Silk,"Tulle is a fine, net like fabric .","Tulle is a fine, net like fabric with and open plain weave. When made of silk, it is perfect for over layers and veils.","Silk, Tulle , Wedding , Bestsellers, Natural ,Womens,Bridal,Eveningwear, dresses, Scarves",printed-cotton||flatknit||pure-wool,Fabric Name||Weave||Design Name Color||Design Name Code||Width||Content||Weight Feel Suitability,Tulle_Silk || Plain || Green || Silk Tulle_361 || 58 || Silk || Lightweight|| Fine || Meshlike and Translucent fabric, Silk||Tulle||Bridal||Lining||Dresses||Skirts||Bridal||EveningGown||Hijab,500,39.25,no,0.65,361_1.0.jpg|| 361_1.1.jpg,361_1.0.jpg,live,in
SKU2,Tulle Silk,"Tulle is a fine, net like fabric .","Tulle is a fine, net like fabric with and open plain weave. When made of silk, it is perfect for over layers and veils.","Silk, Tulle , Wedding , Bestsellers, Natural ,Womens,Bridal,Eveningwear, dresses, Scarves",printed-cotton||flatknit||pure-wool,Fabric Name||Weave||Design Name Color||Design Name Code||Width||Content||Weight Feel Suitability,Tulle_Silk || Plain || Green || Silk Tulle_361 || 58 || Silk || Lightweight|| Fine || Meshlike and Translucent fabric, Silk||Tulle||Bridal||Lining||Dresses||Skirts||Bridal||EveningGown||Hijab,500,39.25,no,0.65,361_13.0.jpg|| 361_13.1.jpg,361_13.0.jpg,live,in
SKU3,Tulle Silk,"Tulle is a fine, net like fabric .","Tulle is a fine, net like fabric with and open plain weave. When made of silk, it is perfect for over layers and veils.","Silk, Tulle , Wedding , Bestsellers, Natural ,Womens,Bridal,Eveningwear, dresses, Scarves",printed-cotton||flatknit||pure-wool,Fabric Name||Weave||Design Name Color||Design Name Code||Width||Content||Weight Feel Suitability,Tulle_Silk|| Plain || Nude || Silk Tulle_361 || 58 || Silk || Lightweight|| Fine || Meshlike and Translucent fabric, Silk||Tulle||Bridal||Lining||Dresses||Skirts||Bridal||EveningGown||Hijab,500,39.25,no,0.65,361_20.0.jpg|| 361_20.1.jpg,361_20.0.jpg,live,in
SKU4,Tulle Silk,"Tulle is a fine, net like fabric .","Tulle is a fine, net like fabric with and open plain weave. When made of silk, it is perfect for over layers and veils.","Silk, Tulle , Wedding , Bestsellers, Natural ,Womens,Bridal,Eveningwear, dresses, Scarves",printed-cotton||flatknit||pure-wool,Fabric Name||Weave||Design Name Color||Design Name Code||Width||Content||Weight Feel Suitability,Tulle_Silk || Plain || Khaki || Silk Tulle_361|| 58|| Silk || Lightweight|| Fine || Meshlike and Translucent fabric, Silk||Tulle||Bridal||Lining||Dresses||Skirts||Bridal||EveningGown||Hijab,500,39.25,no,0.65,361_28.0.jpg|| 361_28.1.jpg,361_28.0.jpg,live,in
SKU5,Tulle Silk,"Tulle is a fine, net like fabric .","Tulle is a fine, net like fabric with and open plain weave. When made of silk, it is perfect for over layers and veils.","Silk, Tulle , Wedding , Bestsellers, Natural ,Womens,Bridal,Eveningwear, dresses, Scarves",printed-cotton||flatknit||pure-wool,Fabric Name||Weave||Design Name Color||Design Name Code||Width||Content||Weight Feel Suitability,Tulle_Silk || Plain || N/A || Silk Tulle_361 || 58 || Silk || Lightweight|| Fine || Meshlike and Translucent fabric, Silk||Tulle||Bridal||Lining||Dresses||Skirts||Bridal||EveningGown||Hijab,500,39.25,no,0.65,361_14.0.jpg|| 361_14.1.jpg,361_14.0.jpg,live,in
SKU6,Tulle Silk,"Tulle is a fine, net like fabric .","Tulle is a fine, net like fabric with and open plain weave. When made of silk, it is perfect for over layers and veils.","Silk, Tulle , Wedding , Bestsellers, Natural ,Womens,Bridal,Eveningwear, dresses, Scarves",printed-cotton||flatknit||pure-wool,Fabric Name||Weave||Design Name Color||Design Name Code||Width||Content||Weight Feel Suitability,Tulle_Silk || Plain || Tan || Silk Tulle_361 || 58 || Silk || Lightweight|| Fine || Meshlike and Translucent fabric, Silk||Tulle||Bridal||Lining||Dresses||Skirts||Bridal||EveningGown||Hijab,500,39.25,no,0.65,361_22.0.jpg|| 361_22.1.jpg,361_22.0.jpg,live,in
SKU7,Tulle Silk,"Tulle is a fine, net like fabric .","Tulle is a fine, net like fabric with and open plain weave. When made of silk, it is perfect for over layers and veils.","Silk, Tulle , Wedding , Bestsellers, Natural ,Womens,Bridal,Eveningwear, dresses, Scarves",printed-cotton||flatknit||pure-wool,Fabric Name||Weave||Design Name Color||Design Name Code||Width||Content||Weight Feel Suitability,Tulle_Silk || Plain || Pink || Silk Tulle_361 || 58 || Silk || Lightweight|| Fine || Meshlike and Translucent fabric, Silk||Tulle||Bridal||Lining||Dresses||Skirts||Bridal||EveningGown||Hijab,500,39.25,no,0.65,361_03.0.jpg|| 361_03.1.jpg,361_03.0.jpg,live,in
SKU8,Tulle Silk,"Tulle is a fine, net like fabric .","Tulle is a fine, net like fabric with and open plain weave. When made of silk, it is perfect for over layers and veils.","Silk, Tulle , Wedding , Bestsellers, Natural ,Womens,Bridal,Eveningwear, dresses, Scarves",printed-cotton||flatknit||pure-wool,Fabric Name||Weave||Design Name Color||Design Name Code||Width||Content||Weight Feel Suitability,Tulle_Silk || Plain || Beige || Silk Tulle_361 || 58 || Silk || Lightweight|| Fine || Meshlike and Translucent fabric, Silk||Tulle||Bridal||Lining||Dresses||Skirts||Bridal||EveningGown||Hijab,500,39.25,no,0.65,361_02.0.jpg|| 361_02.1.jpg,361_02.0.jpg,live,in
SKU9,Tulle Silk,"Tulle is a fine, net like fabric .","Tulle is a fine, net like fabric with and open plain weave. When made of silk, it is perfect for over layers and veils.","Silk, Tulle , Wedding , Bestsellers, Natural ,Womens,Bridal,Eveningwear, dresses, Scarves",printed-cotton||flatknit||pure-wool,Fabric Name||Weave||Design Name Color||Design Name Code||Width||Content||Weight Feel Suitability,Tulle_Silk|| Plain || Khaki ||Silk Tulle_361 ||58 || Silk ||Lightweight|| Fine || Meshlike and Translucent fabric, Silk||Tulle||Bridal||Lining||Dresses||Skirts||Bridal||EveningGown||Hijab,500,39.25,no,0.65,361_18.0.jpg|| 361_18.1.jpg,361_18.0.jpg,live,in
SKU10,Tulle Silk,"Tulle is a fine, net like fabric .","Tulle is a fine, net like fabric with and open plain weave. When made of silk, it is perfect for over layers and veils.","Silk, Tulle , Wedding , Bestsellers, Natural ,Womens,Bridal,Eveningwear, dresses, Scarves",printed-cotton||flatknit||pure-wool,Fabric Name||Weave||Design Name Color||Design Name Code||Width||Content||Weight Feel Suitability,Tulle_Silk || Plain || Pink || Silk Tulle_361 || 58 || Silk || Lightweight|| Fine || Meshlike and Translucent fabric, Silk||Tulle||Bridal||Lining||Dresses||Skirts||Bridal||EveningGown||Hijab,500,39.25,no,0.65,361_25.0.jpg|| 361_25.1.jpg,361_25.0.jpg,live,in
